INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
Princeton University,Princeton,NJ,2,Mid East,2,Private nonprofit,0.0462,1553.0,5709,62688,62688,0.9761,110066
Purdue University-Main Campus,West Lafayette,IN,3,Great Lakes,1,Public,0.4987,1364.0,44503,9992,28794,0.831,72424
Reed College,Portland,OR,8,Far West,2,Private nonprofit,0.2461,1437.0,1320,69350,69350,0.7147,62927
Rhode Island School of Design,Providence,RI,1,New England,2,Private nonprofit,0.1866,1473.0,2084,62688,62688,0.8877,68140
Rice University,Houston,TX,6,Southwest,2,Private nonprofit,0.08,1553.0,4776,64144,64144,0.9464,89718
Rochester Institute of Technology,Rochester,NY,2,Mid East,2,Private nonprofit,0.6693,1383.0,13215,59274,59274,0.6989,76571
Rowan University,Glassboro,NJ,2,Mid East,1,Public,0.7766,1212.0,15841,16574,26932,0.6736,59988
Rutgers University-New Brunswick,New Brunswick,NJ,2,Mid East,1,Public,0.5815,1410.0,37751,17929,37441,0.8363,74479
Sam Houston State University,Huntsville,TX,6,Southwest,1,Public,0.9026,1041.0,17743,9228,19068,0.5476,54211
San Diego State University,San Diego,CA,8,Far West,1,Public,0.3619,,35377,8728,21328,0.7643,64909
San Francisco State University,San Francisco,CA,8,Far West,1,Public,0.9644,,18639,7950,20550,0.5037,68077
San Jose State University,San Jose,CA,8,Far West,1,Public,0.8461,,27601,8410,21010,0.6922,78988
Savannah College of Art and Design,Savannah,GA,5,Southeast,2,Private nonprofit,0.8298,1173.0,15243,41630,41630,0.6941,45954
Skidmore College,Saratoga Springs,NY,2,Mid East,2,Private nonprofit,0.2105,1405.0,2694,67290,67290,0.8257,69363
Smith College,Northampton,MA,1,New England,2,Private nonprofit,0.21,1500.0,2544,65178,65178,0.8905,64027
Southern New Hampshire University,Manchester,NH,1,New England,2,Private nonprofit,0.9951,,163164,17200,17200,0.4283,50318
Stanford University,Stanford,CA,8,Far West,2,Private nonprofit,0.0361,1553.0,7554,65910,65910,0.9192,124080
